epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,767.747,1.1822,2.43139,0.90847,1.29589,0.66637,0.83883,0.81102,0.57035,0.66599,0.83907,0.81098,0.44048,1.16603,2.26159,0.86533,1.36184,0.000909984,0.000909984,0.000909984
41,786.914,1.20209,2.49266,0.9155,1.2986,0.664,0.83334,0.81225,0.55502,0.66245,0.83433,0.81151,0.44184,1.20179,2.15998,0.87235,1.3887,0.000905463,0.000905463,0.000905463
42,805.682,1.18684,2.39171,0.90844,1.29533,0.65744,0.84854,0.80568,0.55697,0.6581,0.8494,0.8056,0.43598,1.20665,2.27342,0.88341,1.41343,0.000900844,0.000900844,0.000900844
43,824.205,1.17892,2.41104,0.9033,1.30104,0.66379,0.83821,0.81829,0.56327,0.65424,0.84682,0.81848,0.44234,1.21729,2.23154,0.87188,1.40246,0.000896127,0.000896127,0.000896127
44,843.398,1.13906,2.38672,0.86921,1.26324,0.68244,0.80821,0.8157,0.57946,0.68317,0.80907,0.81472,0.46429,1.13012,2.09812,0.83812,1.33748,0.000891313,0.000891313,0.000891313
45,862.387,1.12494,2.34606,0.85936,1.25627,0.62692,0.858,0.7988,0.5672,0.62251,0.85719,0.79833,0.46234,1.11202,2.17943,0.84888,1.32733,0.000886404,0.000886404,0.000886404
46,881.418,1.13145,2.42294,0.86148,1.24564,0.64699,0.84854,0.79431,0.54967,0.65283,0.84337,0.79279,0.42778,1.1537,2.2098,0.8578,1.36062,0.000881401,0.000881401,0.000881401
47,900.594,1.13196,2.30929,0.84791,1.26134,0.63201,0.82874,0.77795,0.5542,0.6332,0.82452,0.777,0.44241,1.12361,2.21778,0.84561,1.3363,0.000876305,0.000876305,0.000876305
48,919.699,1.16243,2.40007,0.87879,1.26398,0.62866,0.858,0.78598,0.54905,0.62946,0.858,0.78541,0.42607,1.1329,2.17321,0.85036,1.34548,0.000871117,0.000871117,0.000871117
49,938.651,1.13272,2.33458,0.87076,1.25336,0.71006,0.80981,0.83211,0.59671,0.70931,0.80895,0.83111,0.48385,1.1031,2.07342,0.81652,1.32673,0.000865839,0.000865839,0.000865839
