epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,786.934,0.8507,1.80387,0.66964,1.01873,0.75215,0.80961,0.87597,0.68027,0.75135,0.80875,0.87458,0.55409,0.86606,1.48633,0.64743,1.19209,0.000905463,0.000905463,0.000905463
42,805.48,0.83793,1.73042,0.66144,1.01632,0.76388,0.84682,0.88769,0.69421,0.76388,0.84682,0.88672,0.57101,0.85468,1.43319,0.65419,1.16087,0.000900844,0.000900844,0.000900844
43,824.041,0.83612,1.75881,0.65586,1.03453,0.73763,0.85628,0.88004,0.681,0.73763,0.85628,0.88,0.55633,0.88641,1.53977,0.63252,1.19745,0.000896127,0.000896127,0.000896127
44,843.116,0.8358,1.76153,0.65409,1.01455,0.7141,0.80606,0.85257,0.66045,0.7138,0.80293,0.85152,0.53148,0.85641,1.48489,0.67095,1.16433,0.000891313,0.000891313,0.000891313
45,861.869,0.8117,1.72246,0.64639,1.00793,0.75008,0.82394,0.87955,0.68879,0.75008,0.82394,0.87764,0.54754,0.89459,1.52275,0.65151,1.20661,0.000886404,0.000886404,0.000886404
46,880.851,0.83844,1.82794,0.64748,1.01208,0.75852,0.8494,0.88193,0.69104,0.76659,0.83947,0.88188,0.56641,0.84253,1.42747,0.66892,1.17017,0.000881401,0.000881401,0.000881401
47,900.122,0.83495,1.71928,0.64239,1.01794,0.6813,0.86661,0.85602,0.65794,0.68062,0.86575,0.85559,0.53065,0.86713,1.52484,0.66786,1.18069,0.000876305,0.000876305,0.000876305
48,918.955,0.85516,1.78126,0.66256,1.02107,0.70411,0.82788,0.851,0.65702,0.70411,0.82788,0.85065,0.50795,0.89389,1.6095,0.69245,1.20208,0.000871117,0.000871117,0.000871117
49,937.699,0.83285,1.73295,0.64952,1.01656,0.74826,0.85438,0.87118,0.67946,0.749,0.85259,0.87076,0.55935,0.84666,1.45477,0.63604,1.16958,0.000865839,0.000865839,0.000865839
50,956.358,0.81419,1.68335,0.60915,1.01271,0.77154,0.76764,0.87483,0.68736,0.77195,0.7685,0.87461,0.56993,0.84028,1.43366,0.66447,1.17038,0.000860473,0.000860473,0.000860473
