epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,727.212,0.8289,1.75681,0.64844,1.00839,0.65192,0.82444,0.81541,0.62492,0.65074,0.81497,0.81005,0.47504,0.88213,1.63174,0.70796,1.18794,0.000871117,0.000871117,0.000871117
49,742.169,0.81725,1.70694,0.6327,1.00821,0.71527,0.86059,0.86792,0.66623,0.71456,0.85972,0.86669,0.5362,0.87628,1.5244,0.66072,1.16353,0.000865839,0.000865839,0.000865839
50,756.932,0.79658,1.65441,0.59649,1.00289,0.69553,0.81587,0.84879,0.65589,0.70312,0.80809,0.84551,0.52389,0.86033,1.58565,0.65677,1.16715,0.000860473,0.000860473,0.000860473
51,772.551,0.79831,1.7197,0.61043,0.99499,0.74707,0.8012,0.86502,0.66482,0.74838,0.79346,0.8608,0.53963,0.90327,1.59587,0.66208,1.21143,0.000855018,0.000855018,0.000855018
52,787.774,0.8075,1.73618,0.60567,1.00054,0.68002,0.77797,0.82259,0.63061,0.67621,0.77463,0.81886,0.50896,0.87686,1.6283,0.73592,1.1956,0.000849477,0.000849477,0.000849477
53,802.682,0.80426,1.67243,0.60752,0.99829,0.73092,0.79776,0.85599,0.65899,0.72919,0.79248,0.85144,0.53154,0.87243,1.61745,0.69769,1.1852,0.000843851,0.000843851,0.000843851
54,818.084,0.78885,1.70491,0.60058,0.99972,0.73526,0.80548,0.85517,0.64157,0.73359,0.80332,0.85169,0.51798,0.90867,1.59247,0.69946,1.19426,0.000838141,0.000838141,0.000838141
55,833.158,0.79399,1.72942,0.59848,0.99737,0.73686,0.74463,0.83873,0.6472,0.73535,0.74182,0.83526,0.53272,0.86079,1.6257,0.7002,1.15673,0.000832349,0.000832349,0.000832349
56,848.363,0.78664,1.66248,0.61889,0.99721,0.71344,0.80637,0.85139,0.65145,0.71084,0.80379,0.84814,0.5212,0.85658,1.55854,0.67728,1.17583,0.000826477,0.000826477,0.000826477
57,863.559,0.80744,1.71288,0.62037,1.01223,0.67963,0.8343,0.84162,0.63631,0.67472,0.82828,0.8355,0.50946,0.89719,1.6312,0.6905,1.1966,0.000820525,0.000820525,0.000820525
58,879.006,0.81396,1.71806,0.61662,1.00322,0.69102,0.80067,0.83892,0.63837,0.68168,0.80352,0.83528,0.52531,0.89297,1.5595,0.70772,1.21148,0.000814495,0.000814495,0.000814495
59,893.945,0.79792,1.705,0.61459,1.00509,0.69012,0.83046,0.84826,0.6501,0.6894,0.8296,0.84541,0.51873,0.88434,1.54792,0.67376,1.20054,0.000808389,0.000808389,0.000808389
60,908.988,0.79661,1.70734,0.60528,0.99907,0.66027,0.80951,0.80701,0.61789,0.66241,0.80465,0.80589,0.49172,0.87662,1.59813,0.72783,1.17933,0.000802208,0.000802208,0.000802208
61,923.961,0.7756,1.6501,0.59979,0.99435,0.69685,0.81067,0.82852,0.62854,0.69717,0.80895,0.82449,0.49624,0.8683,1.54224,0.70409,1.18609,0.000795954,0.000795954,0.000795954
62,939.115,0.81007,1.69484,0.61117,1.00916,0.72485,0.82874,0.86223,0.6746,0.72614,0.82272,0.85907,0.56271,0.85476,1.50621,0.68704,1.18064,0.000789628,0.000789628,0.000789628
63,954.75,0.79604,1.64681,0.59391,1.00414,0.71809,0.85053,0.87358,0.67579,0.71971,0.83993,0.86984,0.55989,0.86669,1.51665,0.64727,1.18702,0.000783231,0.000783231,0.000783231
64,969.444,0.78173,1.63584,0.58231,1.00927,0.6946,0.80293,0.84405,0.65091,0.69449,0.80014,0.84126,0.52927,0.86311,1.51822,0.72998,1.17194,0.000776766,0.000776766,0.000776766
65,984.688,0.76743,1.63983,0.57388,0.98002,0.7609,0.76678,0.85019,0.65721,0.75895,0.76592,0.84736,0.51919,0.85223,1.56841,0.66375,1.17093,0.000770234,0.000770234,0.000770234
66,999.717,0.78428,1.67794,0.57795,0.98642,0.70348,0.82444,0.84752,0.65112,0.6988,0.82358,0.84387,0.52443,0.88437,1.58761,0.69269,1.20844,0.000763637,0.000763637,0.000763637
67,1015.23,0.78805,1.67701,0.60637,0.99833,0.69027,0.78571,0.81225,0.6166,0.688,0.78313,0.80886,0.50242,0.90566,1.58964,0.78597,1.22305,0.000756976,0.000756976,0.000756976
68,1030.11,0.78665,1.67232,0.59795,0.98963,0.71121,0.80637,0.84995,0.65394,0.71152,0.80447,0.8482,0.53446,0.87946,1.56487,0.66651,1.20535,0.000750252,0.000750252,0.000750252
69,1045.29,0.77302,1.65395,0.58414,0.97802,0.66229,0.83205,0.82246,0.62528,0.66092,0.83033,0.8187,0.50818,0.89406,1.55841,0.70605,1.18839,0.000743468,0.000743468,0.000743468
70,1060.82,0.75286,1.59759,0.56613,0.99152,0.69223,0.81153,0.81881,0.62865,0.6915,0.81067,0.81633,0.50933,0.876,1.55063,0.7128,1.1881,0.000736625,0.000736625,0.000736625
71,1075.41,0.75743,1.59102,0.57673,0.99693,0.69423,0.81583,0.83067,0.63077,0.69423,0.81583,0.82976,0.51867,0.90552,1.59596,0.73322,1.19401,0.000729725,0.000729725,0.000729725
72,1090.58,0.77714,1.61753,0.58026,0.99038,0.69577,0.83907,0.85657,0.65605,0.69657,0.83219,0.85445,0.53154,0.8885,1.57362,0.67045,1.19607,0.00072277,0.00072277,0.00072277
73,1105.58,0.79118,1.71207,0.59564,0.99133,0.73141,0.77802,0.8407,0.62812,0.72979,0.77883,0.83772,0.49541,0.93018,1.55723,0.71323,1.24323,0.000715761,0.000715761,0.000715761
74,1120.56,0.7565,1.58494,0.56767,0.97747,0.70643,0.83869,0.84274,0.63998,0.70425,0.83815,0.84029,0.51593,0.90587,1.58954,0.71808,1.20703,0.0007087,0.0007087,0.0007087
75,1135.19,0.76635,1.59722,0.56819,0.98304,0.67716,0.86059,0.84837,0.64907,0.67648,0.85972,0.84751,0.52508,0.86903,1.54731,0.69115,1.1943,0.000701588,0.000701588,0.000701588
76,1150.32,0.76554,1.65478,0.56684,0.98474,0.69813,0.80379,0.82863,0.63782,0.69738,0.80293,0.82754,0.51409,0.8591,1.53947,0.71633,1.18537,0.000694428,0.000694428,0.000694428
77,1165.16,0.7721,1.62367,0.5702,0.98823,0.71736,0.81067,0.84514,0.6518,0.71736,0.81067,0.84442,0.53377,0.89069,1.5426,0.70694,1.21219,0.000687222,0.000687222,0.000687222
78,1179.87,0.72628,1.55612,0.55617,0.97508,0.71601,0.82234,0.84444,0.64134,0.71163,0.82186,0.84412,0.52001,0.91029,1.56389,0.68618,1.23212,0.00067997,0.00067997,0.00067997
79,1194.85,0.75436,1.6033,0.56579,0.97524,0.68546,0.84208,0.83201,0.63887,0.6853,0.83993,0.82851,0.51523,0.85634,1.53239,0.70085,1.17717,0.000672675,0.000672675,0.000672675
80,1209.75,0.75774,1.59964,0.55375,0.99091,0.69033,0.82702,0.8296,0.63297,0.68889,0.8253,0.82769,0.51109,0.87694,1.60156,0.67126,1.1788,0.000665339,0.000665339,0.000665339
81,1224.66,0.74664,1.55022,0.56407,0.98749,0.70539,0.8242,0.83256,0.63705,0.7065,0.821,0.83154,0.50198,0.86744,1.55028,0.6814,1.17514,0.000657963,0.000657963,0.000657963
82,1239.31,0.74057,1.60757,0.53475,0.96792,0.67713,0.84106,0.82676,0.6249,0.67616,0.83735,0.82231,0.50117,0.89822,1.62071,0.68632,1.20651,0.00065055,0.00065055,0.00065055
83,1254.55,0.75372,1.56315,0.54918,0.97396,0.71463,0.83821,0.84365,0.64251,0.71529,0.83821,0.84157,0.51252,0.92772,1.59358,0.71727,1.23952,0.000643101,0.000643101,0.000643101
84,1269.44,0.74237,1.54921,0.54458,0.98172,0.7091,0.84165,0.847,0.65098,0.69729,0.85542,0.84476,0.5276,0.90151,1.55963,0.66657,1.20523,0.000635617,0.000635617,0.000635617
85,1284.37,0.75302,1.59818,0.55299,0.98086,0.70233,0.821,0.83922,0.64815,0.70184,0.81842,0.83559,0.52888,0.87653,1.51663,0.66868,1.19024,0.000628101,0.000628101,0.000628101
86,1299.52,0.76118,1.57802,0.56411,0.99262,0.68897,0.8197,0.82937,0.64073,0.68585,0.82358,0.82799,0.51724,0.8843,1.49426,0.72601,1.20825,0.000620555,0.000620555,0.000620555
87,1314.64,0.74031,1.56206,0.54091,0.97468,0.71176,0.80551,0.8345,0.64236,0.70997,0.80472,0.83255,0.5304,0.90007,1.49685,0.69265,1.21287,0.000612981,0.000612981,0.000612981
