filename,gsd,Model,TP,FP,FN,IoU,Pred_Area_m2,GT_Area_m2,Error_Area_m2,Pred_Diam_m,GT_Diam_m,Error_Diam_m
0.08m_01_20.png,0.08m,YOLOv11-ablation,13,3,4,0.8819,820.55,927.93,-107.379,32.323,34.373,-2.05
0.08m_01_20.png,0.08m,YOLOv11l-seg,14,4,3,0.8964,954.451,927.93,26.521,34.86,34.373,0.488
0.08m_01_20.png,0.08m,YOLOv8l-seg,10,4,7,0.8864,638.829,927.93,-289.101,28.52,34.373,-5.853
0.08m_01_27.png,0.08m,Hybrid-v11-SAM,12,8,5,0.8572,1090.976,887.185,203.791,37.27,33.61,3.661
0.08m_01_27.png,0.08m,Hybrid-v8-SAM,10,10,7,0.8537,851.526,887.185,-35.659,32.927,33.61,-0.682
0.08m_01_27.png,0.08m,Mask-RCNN,12,5,5,0.8799,1073.318,887.185,186.133,36.967,33.61,3.358
0.08m_01_27.png,0.08m,YOLOv11-ablation,9,4,8,0.8873,738.163,887.185,-149.022,30.657,33.61,-2.952
0.08m_01_27.png,0.08m,YOLOv11l-seg,9,7,8,0.905,832.224,887.185,-54.961,32.552,33.61,-1.058
0.08m_01_27.png,0.08m,YOLOv8l-seg,8,8,9,0.8821,744.294,887.185,-142.891,30.784,33.61,-2.825
0.08m_sample_01.png,0.08m,Hybrid-v11-SAM,9,4,7,0.8265,591.488,900.564,-309.076,27.443,33.862,-6.419
0.08m_sample_01.png,0.08m,Hybrid-v8-SAM,13,5,3,0.8314,804.947,900.564,-95.616,32.014,33.862,-1.848
0.08m_sample_01.png,0.08m,Mask-RCNN,12,1,4,0.8728,684.928,900.564,-215.636,29.531,33.862,-4.331
0.08m_sample_01.png,0.08m,YOLOv11-ablation,9,1,7,0.8549,587.008,900.564,-313.556,27.339,33.862,-6.523
0.08m_sample_01.png,0.08m,YOLOv11l-seg,6,1,10,0.9153,444.896,900.564,-455.668,23.8,33.862,-10.062
0.08m_sample_01.png,0.08m,YOLOv8l-seg,7,4,9,0.8746,460.416,900.564,-440.148,24.212,33.862,-9.65
0.08m_sample_07.png,0.08m,Hybrid-v11-SAM,17,8,0,0.8506,1269.254,957.172,312.083,40.2,34.91,5.29
0.08m_sample_07.png,0.08m,Hybrid-v8-SAM,16,13,1,0.8487,1275.712,957.172,318.54,40.302,34.91,5.392
0.08m_sample_07.png,0.08m,Mask-RCNN,13,6,4,0.8866,1103.04,957.172,145.868,37.476,34.91,2.566
0.08m_sample_07.png,0.08m,YOLOv11-ablation,13,6,4,0.8799,970.758,957.172,13.587,35.157,34.91,0.247
0.08m_sample_07.png,0.08m,YOLOv11l-seg,15,4,2,0.8855,1086.298,957.172,129.126,37.19,34.91,2.28
