image,gsd,model,inference_ms,precision,recall,f1,mean_iou,area_rmse
0.06m_sample_07.png,0.06,Mask_RCNN,46.43082618713379,0.0,0.0,0.0,0.0,0.0
0.06m_sample_07.png,0.06,Watershed,54.07285690307617,0.0,0.0,0.0,0.0,0.0
0.08m_01_20.png,0.08,YOLOv8,53.56121063232422,0.5499999725000013,0.6470587854671302,0.5945940657418335,0.8807003981203426,3.1606099296295236
0.08m_01_20.png,0.08,YOLOv11,50.86183547973633,0.639999974400001,0.9411764152249167,0.761904243764477,0.8990216682829365,3.2547417716310476
0.08m_01_20.png,0.08,YOLOv11_Ablation,52.30283737182617,0.6956521436672981,0.9411764152249167,0.7999994712502996,0.8843734789621478,3.233114659272077
0.08m_01_20.png,0.08,Hybrid_v8+SAM,199.68461990356445,0.5499999725000013,0.6470587854671302,0.5945940657418335,0.8495242661707657,4.308989605253399
0.08m_01_20.png,0.08,Hybrid_v11+SAM,209.80501174926758,0.639999974400001,0.9411764152249167,0.761904243764477,0.8536394311671186,4.127534857514835
0.08m_01_20.png,0.08,Mask_RCNN,77.13580131530762,0.6153845917159773,0.9411764152249167,0.744185533802362,0.8820942152699714,2.556957692258518
0.08m_01_20.png,0.08,Watershed,68.98021697998047,0.0,0.0,0.0,0.0,0.0
0.08m_01_27.png,0.08,YOLOv8,42.10805892944336,0.4999999750000012,0.588235259515573,0.5405400146096615,0.8877852068904739,3.8206220394066723
0.08m_01_27.png,0.08,YOLOv11,49.3621826171875,0.5999999700000015,0.7058823114186875,0.6486481168740122,0.9029027025491615,3.6950777492947746
0.08m_01_27.png,0.08,YOLOv11_Ablation,49.76177215576172,0.5714285442176883,0.7058823114186875,0.6315784196679782,0.8873197052540833,3.0048056797958393
0.08m_01_27.png,0.08,Hybrid_v8+SAM,222.80025482177734,0.4999999750000012,0.588235259515573,0.5405400146096615,0.8586726698837517,4.687402992702889
0.08m_01_27.png,0.08,Hybrid_v11+SAM,204.15973663330078,0.5999999700000015,0.7058823114186875,0.6486481168740122,0.8590959698736912,4.285187137103819
0.08m_01_27.png,0.08,Mask_RCNN,64.6522045135498,0.7058823114186875,0.7058823114186875,0.7058818114190417,0.8788641937648443,3.5179402458446254
0.08m_01_27.png,0.08,Watershed,66.8020248413086,0.0,0.0,0.0,0.0,0.0
0.08m_sample_01.png,0.08,YOLOv8,41.91184043884277,0.7222221820987677,0.8124999492187531,0.7647053391006732,0.878678965385311,3.97978201181151
0.08m_sample_01.png,0.08,YOLOv11,48.16460609436035,0.6923076390532585,0.5624999648437522,0.6206891177174001,0.9011807403208903,1.5012150101390103
0.08m_sample_01.png,0.08,YOLOv11_Ablation,48.66528511047363,0.7499999531250029,0.7499999531250029,0.7499994531253362,0.8614386908798042,7.603678997257402
0.08m_sample_01.png,0.08,Hybrid_v8+SAM,226.7172336578369,0.7222221820987677,0.8124999492187531,0.7647053391006732,0.8368068744068389,6.1074236915161135
0.08m_sample_01.png,0.08,Hybrid_v11+SAM,201.13706588745117,0.6923076390532585,0.5624999648437522,0.6206891177174001,0.8350953052309277,5.260078890832131
0.08m_sample_01.png,0.08,Mask_RCNN,54.2449951171875,0.9230768520710114,0.7499999531250029,0.8275856551727127,0.8714731450879495,7.131287651843341
